,gfw_fid,company,plantation,cfr_label,pct_overlap
0,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,"High (3 in 10,000 to 2 in 1,000)",14.79
1,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",2.86
2,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,"Medium - High (7 in 100,000 to 3 in 10,000)",82.35
3,127,Boustead Plantations Berhad,Balau,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
4,128,Boustead Plantations Berhad,Balau,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
5,129,Boustead Plantations Berhad,Batu Pekaka,No Risk,100.0
6,130,Boustead Plantations Berhad,Bawan,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
7,131,Boustead Plantations Berhad,Bebar,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
8,132,Boustead Plantations Berhad,Bekoh,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
9,133,Boustead Plantations Berhad,Bukit Limau,"Low (0 to 9 in 1,000,000)",100.0
10,134,Boustead Plantations Berhad,Bukit Mertajam,"Medium - High (7 in 100,000 to 3 in 10,000)",40.86
11,134,Boustead Plantations Berhad,Bukit Mertajam,No Risk,59.14
12,135,Boustead Plantations Berhad,Bukit Segamaha,"High (3 in 10,000 to 2 in 1,000)",60.08
13,135,Boustead Plantations Berhad,Bukit Segamaha,"Medium - High (7 in 100,000 to 3 in 10,000)",39.92
14,136,Boustead Plantations Berhad,Chamek,No Risk,100.0
15,137,Boustead Plantations Berhad,ELDRED,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
16,138,Boustead Plantations Berhad,G&G,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
17,139,Boustead Plantations Berhad,JIH,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
18,140,Boustead Plantations Berhad,JIH,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
19,141,Boustead Plantations Berhad,Kawananan,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",37.29
20,141,Boustead Plantations Berhad,Kawananan,"Medium - High (7 in 100,000 to 3 in 10,000)",62.71
21,142,Boustead Plantations Berhad,Kelimut,"Medium - High (7 in 100,000 to 3 in 10,000)",0.0
22,142,Boustead Plantations Berhad,Kelimut,No Risk,100.0
23,143,Boustead Plantations Berhad,Kelimut,No Risk,100.0
24,144,Boustead Plantations Berhad,Ketengah Perwira,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
25,145,Boustead Plantations Berhad,Ketengah Perwira,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
26,146,Boustead Plantations Berhad,KTS,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
27,147,Boustead Plantations Berhad,Kuala Muda,No Risk,100.0
28,148,Boustead Plantations Berhad,Kuala Muda,No Risk,100.0
29,149,Boustead Plantations Berhad,Kulai Young,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
30,150,Boustead Plantations Berhad,Lembah Paitan,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
31,151,Boustead Plantations Berhad,Lepan Kabu,No Risk,100.0
32,152,Boustead Plantations Berhad,Loagan Bunut,"Low (0 to 9 in 1,000,000)",100.0
33,153,Boustead Plantations Berhad,Malakoff,"Medium - High (7 in 100,000 to 3 in 10,000)",86.85
34,153,Boustead Plantations Berhad,Malakoff,No Risk,13.15
35,154,Boustead Plantations Berhad,Malakoff,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
36,155,Boustead Plantations Berhad,Malaya,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
37,156,Boustead Plantations Berhad,Malaya,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
38,157,Boustead Plantations Berhad,Maong,No Risk,100.0
39,158,Boustead Plantations Berhad,Mapai,"Medium - High (7 in 100,000 to 3 in 10,000)",0.14
40,158,Boustead Plantations Berhad,Mapai,No Risk,99.86
41,159,Boustead Plantations Berhad,Nak,"Extremely High (more than 2 in 1,000)",89.83
42,160,Boustead Plantations Berhad,Nak,"Extremely High (more than 2 in 1,000)",100.0
43,161,Boustead Plantations Berhad,Pedai,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
44,162,Boustead Plantations Berhad,Pedai,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
45,163,Boustead Plantations Berhad,Resort,"Extremely High (more than 2 in 1,000)",100.0
46,164,Boustead Plantations Berhad,Segaria,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
47,165,Boustead Plantations Berhad,Solandra,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
48,166,Boustead Plantations Berhad,Stothard,No Risk,100.0
49,167,Boustead Plantations Berhad,Stothard,No Risk,100.0
50,168,Boustead Plantations Berhad,Sungai-Sungai I,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
51,169,Boustead Plantations Berhad,Sungai-Sungai II,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",13.72
52,169,Boustead Plantations Berhad,Sungai-Sungai II,"Medium - High (7 in 100,000 to 3 in 10,000)",86.28
53,170,Boustead Plantations Berhad,Sungai-Sungai III,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
54,171,Boustead Plantations Berhad,Sungai Jernih,"Low (0 to 9 in 1,000,000)",21.23
55,171,Boustead Plantations Berhad,Sungai Jernih,"Medium - High (7 in 100,000 to 3 in 10,000)",78.77
56,172,Boustead Plantations Berhad,Sungai Lelak,"Low (0 to 9 in 1,000,000)",100.0
57,173,Boustead Plantations Berhad,Sungai Segamaha,"High (3 in 10,000 to 2 in 1,000)",1.54
58,173,Boustead Plantations Berhad,Sungai Segamaha,"Medium - High (7 in 100,000 to 3 in 10,000)",98.46
59,174,Boustead Plantations Berhad,Sutera,"Extremely High (more than 2 in 1,000)",100.0
60,175,Boustead Plantations Berhad,Tabung Tentera Sabah,"High (3 in 10,000 to 2 in 1,000)",100.0
61,176,Boustead Plantations Berhad,Tabung Tentera Terengganu,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
62,177,Boustead Plantations Berhad,Taiping Rubber Plantations,"Medium - High (7 in 100,000 to 3 in 10,000)",100.0
63,178,Boustead Plantations Berhad,Telok Sengat,"Low - Medium (9 in 1,000,000 to 7 in 100,000)",100.0
64,218,Carotino / JC Chang Group (Asia Production Unit),Asia Oil Palm Estate 2,"High (3 in 10,000 to 2 in 1,000)",100.0
65,219,Carotino / JC Chang Group (Asia Production Unit),Hwa Li Estate 3,"Extremely High (more than 2 in 1,000)",5.31
66,219,Carotino / JC Chang Group (Asia Production Unit),Hwa Li Estate 3,"High (3 in 10,000 to 2 in 1,000)",94.69
67,220,Carotino / JC Chang Group (Asia Production Unit),Melewar Estate 2,"High (3 in 10,000 to 2 in 1,000)",100.0
68,221,Carotino / JC Chang Group (Carotino Production Unit),Asia Oil Palm Estate 1,"Low (0 to 9 in 1,000,000)",100.0
69,222,Carotino / JC Chang Group (Carotino Production Unit),Hwa Li Estate 1,No Risk,100.0
70,223,Carotino / JC Chang Group (Carotino Production Unit),Hwa Li Estate 2,"Low (0 to 9 in 1,000,000)",100.0
71,224,Carotino / JC Chang Group (Carotino Production Unit),Maran Estate,"Low (0 to 9 in 1,000,000)",100.0
72,225,Carotino / JC Chang Group (Carotino Production Unit),Pahang Oil Palm Estate 1,"Low (0 to 9 in 1,000,000)",100.0
73,226,Carotino / JC Chang Group (Melewar Production Unit),Gerola Estate,"High (3 in 10,000 to 2 in 1,000)",98.68
74,226,Carotino / JC Chang Group (Melewar Production Unit),Gerola Estate,"Medium - High (7 in 100,000 to 3 in 10,000)",1.32
75,227,Carotino / JC Chang Group (Melewar Production Unit),Melewar Estate 1,"High (3 in 10,000 to 2 in 1,000)",100.0
76,228,Carotino / JC Chang Group (Melewar Production Unit),Pahang Oil Palm Estate 2,"High (3 in 10,000 to 2 in 1,000)",100.0
77,229,Carotino / JC Chang Group (Melewar Production Unit),Pahang Oil Palm Estate 3,"High (3 in 10,000 to 2 in 1,000)",100.0
