,gfw_fid,company,plantation,drr_label,pct_overlap
0,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,Medium (0.4-0.6),100.0
1,127,Boustead Plantations Berhad,Balau,Medium (0.4-0.6),100.0
2,128,Boustead Plantations Berhad,Balau,Medium (0.4-0.6),100.0
3,129,Boustead Plantations Berhad,Batu Pekaka,Medium (0.4-0.6),100.0
4,130,Boustead Plantations Berhad,Bawan,Medium (0.4-0.6),100.0
5,131,Boustead Plantations Berhad,Bebar,Medium (0.4-0.6),100.0
6,132,Boustead Plantations Berhad,Bekoh,Medium (0.4-0.6),100.0
7,133,Boustead Plantations Berhad,Bukit Limau,Medium (0.4-0.6),100.0
8,134,Boustead Plantations Berhad,Bukit Mertajam,Medium (0.4-0.6),100.0
9,135,Boustead Plantations Berhad,Bukit Segamaha,Medium (0.4-0.6),100.0
10,136,Boustead Plantations Berhad,Chamek,Medium (0.4-0.6),100.0
11,137,Boustead Plantations Berhad,ELDRED,Medium (0.4-0.6),100.0
12,138,Boustead Plantations Berhad,G&G,Medium (0.4-0.6),100.0
13,139,Boustead Plantations Berhad,JIH,Medium (0.4-0.6),100.0
14,140,Boustead Plantations Berhad,JIH,Medium (0.4-0.6),100.0
15,141,Boustead Plantations Berhad,Kawananan,Medium (0.4-0.6),100.0
16,142,Boustead Plantations Berhad,Kelimut,Medium (0.4-0.6),100.0
17,143,Boustead Plantations Berhad,Kelimut,Medium (0.4-0.6),100.0
18,144,Boustead Plantations Berhad,Ketengah Perwira,Medium (0.4-0.6),100.0
19,145,Boustead Plantations Berhad,Ketengah Perwira,Medium (0.4-0.6),100.0
20,146,Boustead Plantations Berhad,KTS,Medium (0.4-0.6),100.0
21,147,Boustead Plantations Berhad,Kuala Muda,Medium (0.4-0.6),100.0
22,148,Boustead Plantations Berhad,Kuala Muda,Medium (0.4-0.6),100.0
23,149,Boustead Plantations Berhad,Kulai Young,Medium (0.4-0.6),100.0
24,150,Boustead Plantations Berhad,Lembah Paitan,Medium (0.4-0.6),100.0
25,151,Boustead Plantations Berhad,Lepan Kabu,Medium (0.4-0.6),100.0
26,152,Boustead Plantations Berhad,Loagan Bunut,Medium (0.4-0.6),100.0
27,153,Boustead Plantations Berhad,Malakoff,Medium (0.4-0.6),100.0
28,154,Boustead Plantations Berhad,Malakoff,Medium (0.4-0.6),100.0
29,155,Boustead Plantations Berhad,Malaya,Medium (0.4-0.6),100.0
