"month"|"raw_mat"|"volume"
"2024-10"|"Fresh Fruit Bunches"|389304
"2024-10"|"Rubber"|148954
"2024-10"|"Coconut"|0
"2024-10"|"Crude Palm Oil"|276019
"2024-10"|"Palm Kernel"|65276
"2024-11"|"Fresh Fruit Bunches"|338882
"2024-11"|"Rubber"|134813
"2024-11"|"Coconut"|0
"2024-11"|"Crude Palm Oil"|237264
"2024-11"|"Palm Kernel"|52215
"2024-12"|"Fresh Fruit Bunches"|336265
"2024-12"|"Rubber"|131316
"2024-12"|"Coconut"|0
"2024-12"|"Crude Palm Oil"|215885
"2024-12"|"Palm Kernel"|46077
"2025-01"|"Fresh Fruit Bunches"|265849
"2025-01"|"Rubber"|111396
"2025-01"|"Coconut"|3357
"2025-01"|"Crude Palm Oil"|176056
"2025-01"|"Palm Kernel"|42236
"2025-02"|"Fresh Fruit Bunches"|226540
"2025-02"|"Rubber"|107596
"2025-02"|"Coconut"|6230
"2025-02"|"Crude Palm Oil"|151271
"2025-02"|"Palm Kernel"|36754
"2025-03"|"Fresh Fruit Bunches"|279411
"2025-03"|"Rubber"|48002
"2025-03"|"Coconut"|2950
"2025-03"|"Crude Palm Oil"|188958
"2025-03"|"Palm Kernel"|45734
