"month"|"raw_mat"|"volume"
"2024-10"|"Fresh Fruit Bunches (Own Production)"|281109
"2024-10"|"Fresh Fruit Bunches (Outside Purchases)"|9529
"2024-10"|"Crude Palm Oil"|62087
"2024-10"|"Palm Kernel"|11295
"2024-10"|"Rubber"|37597
"2024-11"|"Fresh Fruit Bunches (Own Production)"|253622
"2024-11"|"Fresh Fruit Bunches (Outside Purchases)"|10845
"2024-11"|"Crude Palm Oil"|56150
"2024-11"|"Palm Kernel"|9219
"2024-11"|"Rubber"|33021
"2024-12"|"Fresh Fruit Bunches (Own Production)"|233337
"2024-12"|"Fresh Fruit Bunches (Outside Purchases)"|10111
"2024-12"|"Crude Palm Oil"|49593
"2024-12"|"Palm Kernel"|8408
"2024-12"|"Rubber"|62122
"2025-01"|"Fresh Fruit Bunches (Own Production)"|198583
"2025-01"|"Fresh Fruit Bunches (Outside Purchases)"|10427
"2025-01"|"Crude Palm Oil"|42256
"2025-01"|"Palm Kernel"|7418
"2025-01"|"Rubber"|29433
"2025-02"|"Fresh Fruit Bunches (Own Production)"|172124
"2025-02"|"Fresh Fruit Bunches (Outside Purchases)"|9067
"2025-02"|"Crude Palm Oil"|36191
"2025-02"|"Palm Kernel"|6232
"2025-02"|"Rubber"|28544
"2025-03"|"Fresh Fruit Bunches (Own Production)"|205108
"2025-03"|"Fresh Fruit Bunches (Outside Purchases)"|9923
"2025-03"|"Crude Palm Oil"|43377
"2025-03"|"Palm Kernel"|7647
"2025-03"|"Rubber"|18434
