"month"|"raw_mat"|"volume"
"2023-10"|"Fresh Fruit Bunches"|504278
"2023-10"|"Crude Palm Oil"|124777
"2023-10"|"Palm Kernel"|24680
"2023-10"|"Rubber"|691470
"2023-11"|"Fresh Fruit Bunches"|502396
"2023-11"|"Crude Palm Oil"|121518
"2023-11"|"Palm Kernel"|23851
"2023-11"|"Rubber"|448742
"2023-12"|"Fresh Fruit Bunches"|478877
"2023-12"|"Crude Palm Oil"|116590
"2023-12"|"Palm Kernel"|22747
"2023-12"|"Rubber"|416030
"2024-01"|"Fresh Fruit Bunches"|487580
"2024-01"|"Crude Palm Oil"|117532
"2024-01"|"Palm Kernel"|22400
"2024-01"|"Rubber"|468388
"2024-02"|"Fresh Fruit Bunches"|387293
"2024-02"|"Crude Palm Oil"|95914
"2024-02"|"Palm Kernel"|18533
"2024-02"|"Rubber"|503365
"2024-03"|"Fresh Fruit Bunches"|413588
"2024-03"|"Crude Palm Oil"|101969
"2024-03"|"Palm Kernel"|19856
"2024-03"|"Rubber"|347943
"2024-04"|"Fresh Fruit Bunches"|418188
"2024-04"|"Crude Palm Oil"|104392
"2024-04"|"Palm Kernel"|20533
"2024-04"|"Rubber"|281562
"2024-05"|"Fresh Fruit Bunches"|443500
"2024-05"|"Crude Palm Oil"|106834
"2024-05"|"Palm Kernel"|20788
"2024-05"|"Rubber"|318831
"2024-06"|"Fresh Fruit Bunches"|420076
"2024-06"|"Crude Palm Oil"|99410
"2024-06"|"Palm Kernel"|18452
"2024-06"|"Rubber"|385415
"2024-07"|"Fresh Fruit Bunches"|450891
"2024-07"|"Crude Palm Oil"|108571
"2024-07"|"Palm Kernel"|20309
"2024-07"|"Rubber"|485067
"2024-08"|"Fresh Fruit Bunches"|482364
"2024-08"|"Crude Palm Oil"|115307
"2024-08"|"Palm Kernel"|22078
"2024-08"|"Rubber"|464529
"2024-09"|"Fresh Fruit Bunches"|484164
"2024-09"|"Crude Palm Oil"|118053
"2024-09"|"Palm Kernel"|23248
"2024-09"|"Rubber"|422162
"2024-10"|"Fresh Fruit Bunches"|495589
"2024-10"|"Crude Palm Oil"|120902
"2024-10"|"Palm Kernel"|23140
"2024-10"|"Rubber"|429137
"2024-11"|"Fresh Fruit Bunches"|497729
"2024-11"|"Crude Palm Oil"|120091
"2024-11"|"Palm Kernel"|22013
"2024-11"|"Rubber"|315404
"2024-12"|"Fresh Fruit Bunches"|489034
"2024-12"|"Crude Palm Oil"|116936
"2024-12"|"Palm Kernel"|21708
"2024-12"|"Rubber"|296519
"2025-01"|"Fresh Fruit Bunches"|465690
"2025-01"|"Crude Palm Oil"|110067
"2025-01"|"Palm Kernel"|20987
"2025-01"|"Rubber"|394868
"2025-02"|"Fresh Fruit Bunches"|404229
"2025-02"|"Crude Palm Oil"|97305
"2025-02"|"Palm Kernel"|18459
"2025-02"|"Rubber"|319243
"2025-03"|"Fresh Fruit Bunches"|384791
"2025-03"|"Crude Palm Oil"|92068
"2025-03"|"Palm Kernel"|17037
"2025-03"|"Rubber"|220207
