"Company"|"Category"|"Year"|"Value"
"KLK"|"Mature"|2024|265161
"KLK"|"Immature"|2024|26192
"KLK"|"Mature"|2023|256523
"KLK"|"Immature"|2023|29685
"KLK"|"Mature"|2022|253357
"KLK"|"Immature"|2022|35059
"KLK"|"Mature"|2021|184271
"KLK"|"Immature"|2021|37704
"KLK"|"Mature"|2020|178562
"KLK"|"Immature"|2020|28111
"SDG"|"Mature"|2022|496304
"SDG"|"Immature"|2022|81810
"SDG"|"Mature"|2023|486818
"SDG"|"Immature"|2023|81505
"SDG"|"Mature"|2024|478601
"SDG"|"Immature"|2024|87932
"FGV"|"Immature"|2020|59842
"FGV"|"Immature"|2021|56660
"FGV"|"Immature"|2022|51268
"FGV"|"Immature"|2023|63279
"FGV"|"Immature"|2024|63408
"FGV"|"Mature"|2020|275562
"FGV"|"Mature"|2021|279655
"FGV"|"Mature"|2022|282807
"FGV"|"Mature"|2023|270486
"FGV"|"Mature"|2024|261156
"IOI"|"Immature"|2020|30053
"IOI"|"Immature"|2021|33177
"IOI"|"Immature"|2022|31405
"IOI"|"Immature"|2023|27749
"IOI"|"Immature"|2024|24955
"IOI"|"Mature"|2020|146856
"IOI"|"Mature"|2021|143749
"IOI"|"Mature"|2022|143787
"IOI"|"Mature"|2023|146069
"IOI"|"Mature"|2024|147152
"INNO"|"Mature"|2022|11958
"INNO"|"Mature"|2023|12190
"INNO"|"Mature"|2024|12246
"INNO"|"Immature"|2022|261
"INNO"|"Immature"|2023|56
"INNO"|"Immature"|2024|0
"KMLOONG"|"Mature"|2020|12874
"KMLOONG"|"Mature"|2021|11765
"KMLOONG"|"Mature"|2022|13032
"KMLOONG"|"Mature"|2023|14259
"KMLOONG"|"Mature"|2024|15177
"KMLOONG"|"Immature"|2020|1635
"KMLOONG"|"Immature"|2021|3092
"KMLOONG"|"Immature"|2022|2907
"KMLOONG"|"Immature"|2023|1681
"KMLOONG"|"Immature"|2024|749
