,gfw_fid,company,plantation,rfr_label,pct_overlap
0,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,Extremely High (more than 1 in 100),85.21
1,126,Benta Wawasan Sdn Bhd,Benta Wawasan Sdn Bhd,"High (6 in 1,000 to 1 in 100)",14.79
2,127,Boustead Plantations Berhad,Balau,"Low - Medium (1 in 1,000 to 2 in 1,000)",100.0
3,128,Boustead Plantations Berhad,Balau,"Low - Medium (1 in 1,000 to 2 in 1,000)",100.0
4,129,Boustead Plantations Berhad,Batu Pekaka,"Medium - High (2 in 1,000 to 6 in 1,000)",100.0
5,130,Boustead Plantations Berhad,Bawan,"High (6 in 1,000 to 1 in 100)",100.0
6,131,Boustead Plantations Berhad,Bebar,"Medium - High (2 in 1,000 to 6 in 1,000)",100.0
7,132,Boustead Plantations Berhad,Bekoh,"Low - Medium (1 in 1,000 to 2 in 1,000)",100.0
8,133,Boustead Plantations Berhad,Bukit Limau,"High (6 in 1,000 to 1 in 100)",100.0
9,134,Boustead Plantations Berhad,Bukit Mertajam,"High (6 in 1,000 to 1 in 100)",40.86
10,134,Boustead Plantations Berhad,Bukit Mertajam,"Medium - High (2 in 1,000 to 6 in 1,000)",59.14
11,135,Boustead Plantations Berhad,Bukit Segamaha,"High (6 in 1,000 to 1 in 100)",100.0
12,136,Boustead Plantations Berhad,Chamek,"Medium - High (2 in 1,000 to 6 in 1,000)",100.0
13,137,Boustead Plantations Berhad,ELDRED,"Low - Medium (1 in 1,000 to 2 in 1,000)",100.0
14,138,Boustead Plantations Berhad,G&G,"High (6 in 1,000 to 1 in 100)",100.0
15,139,Boustead Plantations Berhad,JIH,"High (6 in 1,000 to 1 in 100)",100.0
16,140,Boustead Plantations Berhad,JIH,"High (6 in 1,000 to 1 in 100)",100.0
17,141,Boustead Plantations Berhad,Kawananan,Extremely High (more than 1 in 100),37.29
18,141,Boustead Plantations Berhad,Kawananan,"Medium - High (2 in 1,000 to 6 in 1,000)",62.71
19,142,Boustead Plantations Berhad,Kelimut,"High (6 in 1,000 to 1 in 100)",100.0
