"month"|"raw_mat"|"volume"
"2024-10"|"Fresh Fruit Bunches"|801278
"2024-10"|"Crude Palm Oil"|196337
"2024-10"|"Palm Kernel"|42964
"2024-11"|"Fresh Fruit Bunches"|774750
"2024-11"|"Crude Palm Oil"|191451
"2024-11"|"Palm Kernel"|41738
"2024-12"|"Fresh Fruit Bunches"|731164
"2024-12"|"Crude Palm Oil"|180093
"2024-12"|"Palm Kernel"|38484
"2025-01"|"Fresh Fruit Bunches"|686771
"2025-01"|"Crude Palm Oil"|175007
"2025-01"|"Palm Kernel"|37942
"2025-02"|"Fresh Fruit Bunches"|638360
"2025-02"|"Crude Palm Oil"|161718
"2025-02"|"Palm Kernel"|35216
"2025-03"|"Fresh Fruit Bunches"|679659
"2025-03"|"Crude Palm Oil"|169977
"2025-03"|"Palm Kernel"|37625
