X,Y,FID,UML_ID,Group_Name,Parent_Com,Mill_Name,RSPO_Statu,RSPO_Type,Date,Latitude,Longitude,GPS_coordi,GPS_coor_1,GPS_coor_2,ISO,Country,Province,District,Confidence,Alternativ
12618902.8511417,392677.200570074,1,PO1000003866,WILMAR,SUBURMAS PLANTATIONS SDN BHD,SUBURMAS,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.525253,113.357533,"3.525253, 113.357533",113.357533,3.525253,MYS,Malaysia,Sarawak,Bintulu,1-Fully Verified, 
11407505.0053769,350675.198334057,2,PO1000003868,PROSPER GROUP,CHEEKAH-KEMAYAN PLANTATIONS SDN BHD,CHEEKAH-KEMAYAN,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.148583,102.475361,"3.148583, 102.475361",102.475361,3.148583,MYS,Malaysia,Pahang,Bera,1-Fully Verified, 
11522164.080894,298438.841670758,3,PO1000003869,FAR EAST HOLDINGS BERHAD,ENDAU PALM OIL MILL SDN BHD,ENDAU,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.679944,103.505361,"2.679944, 103.505361",103.505361,2.679944,MYS,Malaysia,Pahang,Rompin,1-Fully Verified, 
11445870.0433644,333375.456707368,4,PO1000003871,FAR EAST HOLDINGS BERHAD,KILANG KOSFARM SDN BHD,KOSFARM,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.9934,102.82,"2.9934, 102.820000",102.82,2.9934,MYS,Malaysia,Pahang,Rompin,1-Fully Verified, 
11412698.2822614,321938.443864652,5,PO1000003872,FAR EAST HOLDINGS BERHAD,PROSPER PALM OIL MILL SDN BHD,PROSPER,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.890795,102.522013,"2.890795, 102.522013",102.522013,2.890795,MYS,Malaysia,Negeri Sembilan,Jempol,1-Fully Verified, 
11485357.5157776,342719.588870296,6,PO1000003873,FAR EAST HOLDINGS BERHAD,ROMPIN PALM OIL MILL SDN BHD,ROMPIN,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.077222,103.174722,"3.077222, 103.174722",103.174722,3.077222,MYS,Malaysia,Pahang,Pekan,1-Fully Verified, 
11448136.8421554,337893.929988992,7,PO1000003874,FAR EAST HOLDINGS BERHAD,WUJUD WAWASAN SDN BHD,KOSMA / WUJUD WAWASAN,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.033934,102.840363,"3.033934, 102.840363",102.840363,3.033934,MYS,Malaysia,Pahang,Rompin,1-Fully Verified, 
12611131.080892,378347.286100743,8,PO1000003875,PALMHEAD HOLDINGS,PSS OIL MILL SDN BHD,PSS,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.39676,113.287718,"3.39676, 113.287718",113.287718,3.39676,MYS,Malaysia,Sarawak,Bintulu,1-Fully Verified, 
13157749.5217452,498824.542121616,9,PO1000003876,QL RESOURCES,QL PLANTATION SDN BHD,QL MILL 1,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.476456,118.198075,"4.476456, 118.198075",118.198075,4.476456,MYS,Malaysia,Sabah,Tawau,1-Fully Verified, 
11265393.6528743,435943.557444987,10,PO1000003877,RADIANT RESPONSE SDN BHD / SRI GANDA OIL MILL SDN BHD,SRI GANDA OIL MILL SDN BHD,SRI GANDA,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.913102,101.198753,"3.913102, 101.198753",101.198753,3.913102,MYS,Malaysia,Perak,Hilir Perak,2-High Confidence, 
11488561.7360006,458937.526871958,11,PO1000003878,KETENGAH HOLDINGS SDN BHD,RAKYAT KETENGAH PERWIRA SDN BHD,RAKYAT KETENGAH PERWIRA,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.119153,103.203506,"4.119153, 103.203506",103.203506,4.119153,MYS,Malaysia,Trengganu,Kemaman,1-Fully Verified, 
11535359.1140962,200672.232304026,12,PO1000003879,DUPONT & LEOSK ENTERPRISES,PALM DISCOVERY SDN BHD,PALM DISCOVERY / KULAI MAS,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.802372,103.623894,"1.802372, 103.623894",103.623894,1.802372,MYS,Malaysia,Johor,Keluang,1-Fully Verified, 
13102876.3598705,505351.560720345,13,PO1000003880,YAYASAN SABAH GROUP,REGIONAL HARVEST SDN BHD,DUMPAS,Not RSPO Certified, ,2021/07/14 00:00:00+00,4.534908,117.705141,"4.534908, 117.705141",117.705141,4.534908,MYS,Malaysia,Sabah,Tawau,1-Fully Verified, 
12518141.4574527,319861.824867663,14,PO1000003881,RIMBUNAN HIJAU GROUP,RH BALINGIAN,RH BALINGIAN PALM OIL MILL SDN BHD,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.872164,112.452378,"2.872164, 112.452378",112.452378,2.872164,MYS,Malaysia,Sarawak,Mukah,1-Fully Verified, 
12702000.2906706,420539.795403847,15,PO1000003882,RIMBUNAN SAWIT BERHAD,R.H. PLANTATIONS SDN BHD,RHP,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.775039,114.10401,"3.775039, 114.10401",114.10401,3.775039,MYS,Malaysia,Sarawak,Marudi,1-Fully Verified, 
12505026.6856034,287837.942268497,16,PO1000003883,RIMBUNAN HIJAU GROUP,RH SELANGAU PALM OIL MILL SDN BHD,RH SELANGAU,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.584815,112.334566,"2.584815, 112.334566",112.334566,2.584815,MYS,Malaysia,Sarawak,Mukah,1-Fully Verified, 
12657321.7677628,419369.633346496,17,PO1000003884,YUWANG GROUP,SACHIEW PLANTATIONS SDN BHD,SACHIEW,Not RSPO Certified, ,2021/07/14 00:00:00+00,3.76455,113.702656,"3.76455, 113.702656",113.702656,3.76455,MYS,Malaysia,Sarawak,Miri,1-Fully Verified, 
12243496.1248379,165892.200717863,18,PO1000003886,SARAWAK LAND CONSOLIDATION AND REHABILITATION AUTHORITY (SALCRA),BAU PALM OIL MILL SDN BHD,BAU,Not RSPO Certified, ,2021/07/14 00:00:00+00,1.490067,109.985197,"1.490067, 109.985197",109.985197,1.490067,MYS,Malaysia,Sarawak,Lundu,1-Fully Verified, 
12314454.2852153,106442.403749889,19,PO1000003887,SARAWAK LAND CONSOLIDATION AND REHABILITATION AUTHORITY (SALCRA),SERIAN PALM OIL MILL SDN BHD,SERIAN,Not RSPO Certified, ,2021/07/14 00:00:00+00,0.956144,110.622625,"0.956144, 110.622625",110.622625,0.956144,MYS,Malaysia,Sarawak,Serian,1-Fully Verified, 
11524463.1623373,248511.259753947,20,PO1000003888,SAYONG PLANTATION SDN BHD,SUNGEI KAHANG PALM OIL SDN BHD,SUNGEI KAHANG,Not RSPO Certified, ,2021/07/14 00:00:00+00,2.23185,103.526014,"2.23185, 103.526014",103.526014,2.23185,MYS,Malaysia,Johor,Keluang,1-Fully Verified, 
