"location_name","base_latitude","base_longitude"
"Langkawi",6.35,99.8
"Perlis",6.517,100.2152
"Kubang Pasu",6.3726,100.437
"Kota Setar",6.097,100.354
"Pokok Sena",6.1673,100.5194
"Padang Terap",6.2568,100.611
"Yan",5.795,100.3727
"Pendang",5.993,100.4773
"Kuala Muda",5.5863,100.3744
"Sik",5.8195,100.7442
"Barat Daya",5.3519,100.2359
"Timur Laut",5.4142,100.3285
"Seberang Perai Utara",5.5148,100.4355
"Seberang Perai Tengah",5.3535,100.4518
"Baling",5.6736,100.9159
"Kulim",5.3764,100.5395
"Seberang Perai Selatan",5.1958,100.4921
"Bandar Baharu",5.1303,100.4952
"Kerian",5.0111,100.5349
"Larut, Matang Dan Selama",4.8537,100.7436
"Hulu Perak",5.4278,101.1277
"Tumpat",6.1991,102.1694
"Pasir Mas",6.0424,102.1428
"Kota Bharu",6.1254,102.2405
"Jeli",5.7007,101.8432
"Kuala Kangsar",4.7722,100.9421
"Tanah Merah",5.8089,102.1471
"Bachok",6.0477,102.3945
"Manjung",4.1973,100.6639
"Machang",5.7679,102.2154
"Pasir Puteh",5.8364,102.4083
"Kinta",4.5981,101.0899
"Perak Tengah",4.363,100.9554
"Kuala Krai",5.5315,102.1985
"Kampar",4.3085,101.1537
"Bagan Datuk",3.9919,100.7861
"Besut",5.8287,102.5542
"Tanah Tinggi Cameron",4.4721,101.3801
"Gua Musang",4.8843,101.9682
"Hilir Perak",4.0198,101.0249
"Batang Padang",4.1975,101.2593
"Setiu",5.5213,102.7472
"Sabak Bernam",3.6758,100.99
"Lipis",4.3243,101.9086
"Muallim",3.7246,101.5236
"Kuala Nerus",5.3679,103.0472
"Hulu Terengganu",5.0728,103.0091
"Kuala Terengganu",5.3283,103.1412
"Kuala Selangor",3.3332,101.2542
"Raub",3.7935,101.8575
"Hulu Selangor",3.5601,101.6583
"Marang",5.2077,103.2049
"Jerantut",3.9374,102.362
"Klang",3.0449,101.4456
"Gombak",3.2535,101.6533
"Dungun",4.7549,103.4156
"Petaling",3.1846,101.536
"Kuala Lumpur",3.1319,101.6841
"Bentong",3.5222,101.9104
"Kuala Langat",2.8038,101.4951
"Temerloh",3.4486,102.4163
"Putrajaya",2.9264,101.6964
"Hulu Langat",3.1133,101.8159
"Sepang",2.806,101.7353
"Kemaman",4.2354,103.4211
"Maran",3.5834,102.7791
"Jelebu",2.9411,102.0719
"Seremban",2.7259,101.9378
"Kuantan",3.8168,103.3317
"Port Dickson",2.5225,101.7936
"Bera",3.2705,102.4539
"Kuala Pilah",2.7405,102.2489
"Rembau",2.5915,102.0971
"Jempol",2.8966,102.4055
"Alor Gajah",2.3861,102.2165
"Pekan",3.4956,103.3857
"Tampin",2.473,102.2312
"Melaka Tengah",2.2711,102.2887
"Jasin",2.3113,102.4309
"Rompin",2.7959,103.4861
"Tangkak",2.2711,102.542
